,stock,mktcap
766,1897.HK,0
767,1898.HK,51947757568
768,1903.HK,0
769,1905.HK,0
770,1906.HK,0
771,1907.HK,0
772,1912.HK,0
773,1913.HK,0
774,1915.HK,0
775,1916.HK,0
776,1921.HK,0
777,1922.HK,0
778,1925.HK,0
779,1928.HK,238627569664
780,1933.HK,0
781,1935.HK,0
782,1936.HK,0
783,1937.HK,0
784,1942.HK,0
785,1943.HK,0
786,1949.HK,0
787,1950.HK,0
788,1957.HK,0
789,1958.HK,0
790,1959.HK,0
791,1960.HK,0
792,1967.HK,0
793,1968.HK,0
794,1969.HK,0
795,1970.HK,0
796,1978.HK,0
797,1979.HK,0
798,1980.HK,0
799,1981.HK,0
800,1987.HK,0
801,1988.HK,249477529600
802,1989.HK,0
803,1990.HK,0
804,1996.HK,0
805,1997.HK,0
806,1998.HK,0
807,1999.HK,0
808,2005.HK,0
809,2006.HK,0
810,2007.HK,240185851904
811,2008.HK,0
812,2013.HK,0
813,2014.HK,0
814,2016.HK,0
815,2017.HK,0
816,2023.HK,0
817,2025.HK,0
818,2028.HK,0
819,2030.HK,0
820,2048.HK,0
821,2051.HK,0
822,2057.HK,0
823,2060.HK,0
824,2083.HK,0
825,2086.HK,0
826,2088.HK,0
827,2096.HK,0
828,2102.HK,0
829,2103.HK,0
830,2107.HK,0
831,2108.HK,0
832,2116.HK,0
833,2118.HK,0
834,2119.HK,0
835,2120.HK,0
836,2130.HK,0
837,2132.HK,0
838,2133.HK,0
839,2136.HK,0
840,2168.HK,0
841,2169.HK,0
842,2178.HK,0
843,2180.HK,0
844,2188.HK,0
845,2189.HK,0
846,2193.HK,0
847,2196.HK,133280792576
848,2208.HK,0
849,2211.HK,0
850,2212.HK,0
851,2213.HK,0
852,2225.HK,0
853,2226.HK,0
854,2227.HK,0
855,2228.HK,0
856,2236.HK,0
857,2238.HK,137898180608
858,2239.HK,0
859,2255.HK,0
860,2268.HK,0
861,2269.HK,0
862,2277.HK,0
863,2278.HK,0
864,2286.HK,0
865,2288.HK,0
866,2289.HK,0
867,2292.HK,0
868,2300.HK,0
869,2302.HK,0
870,2303.HK,0
871,2307.HK,0
